  .02  980.037956
  .03  955.906833
  .04  923.391625
  .05  883.613979
  .06  837.884346
  .07  787.612304
  .08  734.22386
  .09  679.088981
  .1  623.463508
  .11  568.44776
  .12  514.962072
  .13  463.737777
  .14  415.320994
  .15  370.086032
  .16  328.255169
  .17  289.921847
  .18  255.074885
  .19  223.621895
  .2  195.410669
  .21  170.247845
  .22  147.914552
  .23  128.179044
  .24  110.806522
  .25  95.5664685
  .26  82.2378653
  .27  70.6126738
  .28  60.4979336
  .29  51.7167973
  .3  44.1087722
  .31  37.5293953
  .32  31.8495196
  .33  26.9543541
  .34  22.7423631
  .35  19.1241062
  .36  16.021072
  .37  13.3645484
  .38  11.0945519
  .39  9.15883305
  .4  7.51196486
  .41  6.11451722
  .42  4.93231621
  .43  3.93578503
  .44  3.09936197
  .45  2.40099049
  .46  1.82167679
  .47  1.34511142
  .48  .957354836
  .49  .646592958
  .5  .402985623
  .51  .21868154
  .52  .0882876627
  .53  .0127742289
